Step,AgentID,X,Y,velocity,current_lane
18,13,0.0,150.0,[0.5 0. ],1
18,14,0.0,150.0,[0.5 0. ],1
18,15,0.0,150.0,[0.5 0. ],1
18,16,0.0,150.0,[0.5 0. ],1
18,17,0.0,150.0,[0.5 0. ],1
18,18,0.0,150.0,[0.5 0. ],1
18,19,0.0,150.0,[0.5 0. ],1
19,0,9.4,50.0,[0.4272 0.    ],0
19,1,0.0,50.0,[0.5 0. ],0
19,2,0.0,50.0,[0.5 0. ],0
19,3,0.0,50.0,[0.5 0. ],0
19,4,0.0,50.0,[0.5 0. ],0
19,5,0.0,50.0,[0.5 0. ],0
19,6,0.0,50.0,[0.5 0. ],0
19,7,0.0,50.0,[0.5 0. ],0
19,8,0.0,50.0,[0.5 0. ],0
19,9,0.0,50.0,[0.5 0. ],0
19,10,9.4,150.0,[0.5 0. ],1
19,11,0.0,150.0,[0.5 0. ],1
19,12,0.0,150.0,[0.5 0. ],1
19,13,0.0,150.0,[0.5 0. ],1
19,14,0.0,150.0,[0.5 0. ],1
19,15,0.0,150.0,[0.5 0. ],1
19,16,0.0,150.0,[0.5 0. ],1
19,17,0.0,150.0,[0.5 0. ],1
19,18,0.0,150.0,[0.5 0. ],1
19,19,0.0,150.0,[0.5 0. ],1
20,0,9.9,50.0,[0.4272 0.    ],0
20,1,0.0,50.0,[0.5 0. ],0
20,2,0.0,50.0,[0.5 0. ],0
20,3,0.0,50.0,[0.5 0. ],0
20,4,0.0,50.0,[0.5 0. ],0
20,5,0.0,50.0,[0.5 0. ],0
20,6,0.0,50.0,[0.5 0. ],0
20,7,0.0,50.0,[0.5 0. ],0
20,8,0.0,50.0,[0.5 0. ],0
20,9,0.0,50.0,[0.5 0. ],0
20,10,9.9,150.0,[0.5 0. ],1
20,11,0.0,150.0,[0.5 0. ],1
20,12,0.0,150.0,[0.5 0. ],1
20,13,0.0,150.0,[0.5 0. ],1
20,14,0.0,150.0,[0.5 0. ],1
20,15,0.0,150.0,[0.5 0. ],1
20,16,0.0,150.0,[0.5 0. ],1
20,17,0.0,150.0,[0.5 0. ],1
20,18,0.0,150.0,[0.5 0. ],1
20,19,0.0,150.0,[0.5 0. ],1
21,0,10.4,50.0,[0.4272 0.    ],0
21,1,0.0,50.0,[0.5 0. ],0
21,2,0.0,50.0,[0.5 0. ],0
21,3,0.0,50.0,[0.5 0. ],0
21,4,0.0,50.0,[0.5 0. ],0
21,5,0.0,50.0,[0.5 0. ],0
21,6,0.0,50.0,[0.5 0. ],0
21,7,0.0,50.0,[0.5 0. ],0
21,8,0.0,50.0,[0.5 0. ],0
21,9,0.0,50.0,[0.5 0. ],0
21,10,10.4,150.0,[0.5 0. ],1
