Step,AgentID,X,Y,Velocity,Current_lane,Is_alive
15,14,0.0,150.0,[0.5 0. ],1,False
15,15,0.0,150.0,[0.5 0. ],1,False
15,16,0.0,150.0,[0.5 0. ],1,False
15,17,0.0,150.0,[0.5 0. ],1,False
15,18,0.0,150.0,[0.5 0. ],1,False
15,19,0.0,150.0,[0.5 0. ],1,False
16,0,7.9,50.0,[0.329 0.   ],0,True
16,1,0.0,50.0,[0.5 0. ],0,False
16,2,0.0,50.0,[0.5 0. ],0,False
16,3,0.0,50.0,[0.5 0. ],0,False
16,4,0.0,50.0,[0.5 0. ],0,False
16,5,0.0,50.0,[0.5 0. ],0,False
16,6,0.0,50.0,[0.5 0. ],0,False
16,7,0.0,50.0,[0.5 0. ],0,False
16,8,0.0,50.0,[0.5 0. ],0,False
16,9,0.0,50.0,[0.5 0. ],0,False
16,10,7.9,150.0,[0.412 0.   ],1,True
16,11,0.0,150.0,[0.5 0. ],1,False
16,12,0.0,150.0,[0.5 0. ],1,False
16,13,0.0,150.0,[0.5 0. ],1,False
16,14,0.0,150.0,[0.5 0. ],1,False
16,15,0.0,150.0,[0.5 0. ],1,False
16,16,0.0,150.0,[0.5 0. ],1,False
16,17,0.0,150.0,[0.5 0. ],1,False
16,18,0.0,150.0,[0.5 0. ],1,False
16,19,0.0,150.0,[0.5 0. ],1,False
17,0,8.4,50.0,[0.329 0.   ],0,True
17,1,0.0,50.0,[0.5 0. ],0,False
17,2,0.0,50.0,[0.5 0. ],0,False
17,3,0.0,50.0,[0.5 0. ],0,False
17,4,0.0,50.0,[0.5 0. ],0,False
17,5,0.0,50.0,[0.5 0. ],0,False
17,6,0.0,50.0,[0.5 0. ],0,False
17,7,0.0,50.0,[0.5 0. ],0,False
17,8,0.0,50.0,[0.5 0. ],0,False
17,9,0.0,50.0,[0.5 0. ],0,False
17,10,8.4,150.0,[0.412 0.   ],1,True
17,11,0.0,150.0,[0.5 0. ],1,False
17,12,0.0,150.0,[0.5 0. ],1,False
17,13,0.0,150.0,[0.5 0. ],1,False
17,14,0.0,150.0,[0.5 0. ],1,False
17,15,0.0,150.0,[0.5 0. ],1,False
17,16,0.0,150.0,[0.5 0. ],1,False
17,17,0.0,150.0,[0.5 0. ],1,False
17,18,0.0,150.0,[0.5 0. ],1,False
17,19,0.0,150.0,[0.5 0. ],1,False
18,0,8.9,50.0,[0.329 0.   ],0,True
18,1,0.0,50.0,[0.5 0. ],0,False
18,2,0.0,50.0,[0.5 0. ],0,False
18,3,0.0,50.0,[0.5 0. ],0,False
18,4,0.0,50.0,[0.5 0. ],0,False
18,5,0.0,50.0,[0.5 0. ],0,False
18,6,0.0,50.0,[0.5 0. ],0,False
18,7,0.0,50.0,[0.5 0. ],0,False
18,8,0.0,50.0,[0.5 0. ],0,False
18,9,0.0,50.0,[0.5 0. ],0,False
18,10,8.9,150.0,[0.412 0.   ],1,True
18,11,0.0,150.0,[0.5 0. ],1,False
18,12,0.0,150.0,[0.5 0. ],1,False
18,13,0.0,150.0,[0.5 0. ],1,False
18,14,0.0,150.0,[0.5 0. ],1,False
18,15,0.0,150.0,[0.5 0. ],1,False
18,16,0.0,150.0,[0.5 0. ],1,False
18,17,0.0,150.0,[0.5 0. ],1,False
18,18,0.0,150.0,[0.5 0. ],1,False
18,19,0.0,150.0,[0.5 0. ],1,False
19,0,9.4,50.0,[0.329 0.   ],0,True
19,1,0.0,50.0,[0.5 0. ],0,False
19,2,0.0,50.0,[0.5 0. ],0,False
19,3,0.0,50.0,[0.5 0. ],0,False
19,4,0.0,50.0,[0.5 0. ],0,False
19,5,0.0,50.0,[0.5 0. ],0,False
19,6,0.0,50.0,[0.5 0. ],0,False
19,7,0.0,50.0,[0.5 0. ],0,False
19,8,0.0,50.0,[0.5 0. ],0,False
19,9,0.0,50.0,[0.5 0. ],0,False
19,10,9.4,150.0,[0.412 0.   ],1,True
19,11,0.0,150.0,[0.5 0. ],1,False
19,12,0.0,150.0,[0.5 0. ],1,False
19,13,0.0,150.0,[0.5 0. ],1,False
19,14,0.0,150.0,[0.5 0. ],1,False
19,15,0.0,150.0,[0.5 0. ],1,False
19,16,0.0,150.0,[0.5 0. ],1,False
19,17,0.0,150.0,[0.5 0. ],1,False
19,18,0.0,150.0,[0.5 0. ],1,False
19,19,0.0,150.0,[0.5 0. ],1,False
20,0,9.9,50.0,[0.329 0.   ],0,True
20,1,0.0,50.0,[0.5 0. ],0,False
20,2,0.0,50.0,[0.5 0. ],0,False
20,3,0.0,50.0,[0.5 0. ],0,False
20,4,0.0,50.0,[0.5 0. ],0,False
20,5,0.0,50.0,[0.5 0. ],0,False
20,6,0.0,50.0,[0.5 0. ],0,False
20,7,0.0,50.0,[0.5 0. ],0,False
20,8,0.0,50.0,[0.5 0. ],0,False
20,9,0.0,50.0,[0.5 0. ],0,False
20,10,9.9,150.0,[0.412 0.   ],1,True
20,11,0.0,150.0,[0.5 0. ],1,False
20,12,0.0,150.0,[0.5 0. ],1,False
20,13,0.0,150.0,[0.5 0. ],1,False
20,14,0.0,150.0,[0.5 0. ],1,False
20,15,0.0,150.0,[0.5 0. ],1,False
20,16,0.0,150.0,[0.5 0. ],1,False
20,17,0.0,150.0,[0.5 0. ],1,False
20,18,0.0,150.0,[0.5 0. ],1,False
20,19,0.0,150.0,[0.5 0. ],1,False
21,0,10.4,50.0,[0.329 0.   ],0,True
21,1,0.0,50.0,[0.5 0. ],0,False
21,2,0.0,50.0,[0.5 0. ],0,False
21,3,0.0,50.0,[0.5 0. ],0,False
21,4,0.0,50.0,[0.5 0. ],0,False
21,5,0.0,50.0,[0.5 0. ],0,False
21,6,0.0,50.0,[0.5 0. ],0,False
21,7,0.0,50.0,[0.5 0. ],0,False
21,8,0.0,50.0,[0.5 0. ],0,False
21,9,0.0,50.0,[0.5 0. ],0,False
21,10,10.4,150.0,[0.412 0.   ],1,True
21,11,0.0,150.0,[0.5 0. ],1,False
21,12,0.0,150.0,[0.5 0. ],1,False
21,13,0.0,150.0,[0.5 0. ],1,False
21,14,0.0,150.0,[0.5 0. ],1,False
21,15,0.0,150.0,[0.5 0. ],1,False
21,16,0.0,150.0,[0.5 0. ],1,False
21,17,0.0,150.0,[0.5 0. ],1,False
21,18,0.0,150.0,[0.5 0. ],1,False
21,19,0.0,150.0,[0.5 0. ],1,False
22,0,10.9,50.0,[0.329 0.   ],0,True
22,1,0.0,50.0,[0.5 0. ],0,False
22,2,0.0,50.0,[0.5 0. ],0,False
22,3,0.0,50.0,[0.5 0. ],0,False
22,4,0.0,50.0,[0.5 0. ],0,False
22,5,0.0,50.0,[0.5 0. ],0,False
22,6,0.0,50.0,[0.5 0. ],0,False
22,7,0.0,50.0,[0.5 0. ],0,False
22,8,0.0,50.0,[0.5 0. ],0,False
22,9,0.0,50.0,[0.5 0. ],0,False
22,10,10.9,150.0,[0.412 0.   ],1,True
22,11,0.0,150.0,[0.5 0. ],1,False
22,12,0.0,150.0,[0.5 0. ],1,False
22,13,0.0,150.0,[0.5 0. ],1,False
22,14,0.0,150.0,[0.5 0. ],1,False
